sensor_id_full,sensor_id,sensor_direction,Objectummer,Locatienaam,Lat/Long,Breedte,Effectieve  breedte
GVCV-06_275,GVCV-06,275,GVCV-06,Azartplein,"52.378101,4.937281","3,5","3,1"
GVCV-07_50,GVCV-07,50,GVCV-07,Pontsteiger N (ri. NDSM),"52.392143,4.885861","3,5","3,1"
GVCV-07_230,GVCV-07,230,GVCV-07,Pontsteiger N (ri. NDSM),"52.392143,4.885861","3,5","3,1"
GVCV-08_45,GVCV-08,45,GVCV-08,Pontsteiger Z (ri. Distelweg),"52.392029,4.886005","3,5","3,1"
GVCV-08_225,GVCV-08,225,GVCV-08,Pontsteiger Z (ri. Distelweg),"52.392029,4.886005","3,5","3,1"
GVCV-09_80,GVCV-09,80,GVCV-09,Zeeburg,"52.374414, 4.949579","3,5","3,1"
GVCV-09_260,GVCV-09,260,GVCV-09,Zeeburg,"52.374414, 4.949579","3,5","3,1"
GVCV-11_50,GVCV-11,50,GVCV-11,NDSMkade,"52.401060, 4.891368","3,5","3,1"
GVCV-11_230,GVCV-11,230,GVCV-11,NDSMkade,"52.401060, 4.891368","3,5","3,1"
GVCV-13_10,GVCV-13,10,GVCV-13,Buiksloterweg,"52.382352, 4.903016","3,5","3,1"
GVCV-13_190,GVCV-13,190,GVCV-13,Buiksloterweg,"52.382352, 4.903016","3,5","3,1"
GVCV-14_90,GVCV-14,90,GVCV-14,Buiksloterweg,"52.382169, 4.903385","3,5","3,1"
GVCV-14_270,GVCV-14,270,GVCV-14,Buiksloterweg,"52.382169, 4.903385","3,5","3,1"
