OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
122;"CMSA-GAVM-03-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8717689 52.3576969)";"POINT(52.3576969 4.8717689)";4.8717689;52.3576969
123;"CMSA-GAVM-03-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8718346 52.357719)";"POINT(52.357719 4.8718346)";4.8718346;52.357719
124;"CMSA-GAVM-04-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8618202 52.3555803)";"POINT(52.3555803 4.8618202)";4.8618202;52.3555803
125;"CMSA-GAVM-04-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8618591 52.3555885)";"POINT(52.3555885 4.8618591)";4.8618591;52.3555885
126;"CMSA-GACM-04-1";"3D sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8980772 52.3770161)";"POINT(52.3770161 4.8980772)";4.8980772;52.3770161
127;"CMSA-GACM-04-2";"3D sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8980343 52.3770562)";"POINT(52.3770562 4.8980343)";4.8980343;52.3770562
128;"CMSA-GACM-01";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8916698 52.370534)";"POINT(52.370534 4.8916698)";4.8916698;52.370534
130;"CMSA-GACM-03";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8923767 52.3702734)";"POINT(52.3702734 4.8923767)";4.8923767;52.3702734
131;"CMSA-GADM-01-1";"Telcamera";"Eigen voeding via lichtnet";250;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8930852 52.3731321)";"POINT(52.3731321 4.8930852)";4.8930852;52.3731321
132;"CMSA-GABM-06";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9528493 52.3142728)";"POINT(52.3142728 4.9528493)";4.9528493;52.3142728
133;"CMSA-GVCV04.1";"Telcamera";"Eigen voeding via lichtnet";30;"Nee";"";"POINT(4.8995068 52.3805191)";"POINT(52.3805191 4.8995068)";4.8995068;52.3805191
134;"CMSA-GAMM-01";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.882626 52.3578538)";"POINT(52.3578538 4.882626)";4.882626;52.3578538
135;"CMSA-GAWW-20";"Telcamera";"Vaste spanning";140;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8974034 52.3753574)";"POINT(52.3753574 4.8974034)";4.8974034;52.3753574
136;"CMSA-GAWW-24";"Telcamera";"Vaste spanning";140;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.899209 52.3765254)";"POINT(52.3765254 4.899209)";4.899209;52.3765254
137;"CMSA-GAWW-23";"Telcamera";"Vaste spanning";290;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8998248 52.3727819)";"POINT(52.3727819 4.8998248)";4.8998248;52.3727819
138;"CMSA-GAWW-22";"Telcamera";"Eigen voeding via lichtnet";200;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8989324 52.371487)";"POINT(52.371487 4.8989324)";4.8989324;52.371487
139;"CMSA-GAWW-21";"Telcamera";"Eigen voeding via lichtnet";295;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8955096 52.3719457)";"POINT(52.3719457 4.8955096)";4.8955096;52.3719457
140;"CMSA-GASZ-02-1";"Corona CMSA";"Vaste spanning";180;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8735962 52.338398)";"POINT(52.338398 4.8735962)";4.8735962;52.338398
141;"CMSA-GASZ-02-2";"Corona CMSA";"Eigen voeding via lichtnet";180;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8735372 52.3384013)";"POINT(52.3384013 4.8735372)";4.8735372;52.3384013
142;"CMSA-GASZ-01-1";"Corona CMSA";"Vaste spanning";45;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.87321 52.3395833)";"POINT(52.3395833 4.87321)";4.87321;52.3395833
143;"CMSA-GASZ-01-2";"Corona CMSA";"Vaste spanning";270;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8733532 52.3395885)";"POINT(52.3395885 4.8733532)";4.8733532;52.3395885
144;"CMSA-GAKH-01";"Telcamera";"Vaste spanning";210;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8920786 52.3725998)";"POINT(52.3725998 4.8920786)";4.8920786;52.3725998
145;"CMSA-GAWW-12";"Telcamera";"Eigen voeding via lichtnet";115;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8987053 52.3738687)";"POINT(52.3738687 4.8987053)";4.8987053;52.3738687
146;"CMSA-GJEM-02-1";"Corona CMSA";"Eigen voeding via lichtnet";270;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9390011 52.3150683)";"POINT(52.3150683 4.9390011)";4.9390011;52.3150683
147;"CMSA-GJEM-02-2";"Corona CMSA";"Eigen voeding via lichtnet";270;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.938968 52.3150875)";"POINT(52.3150875 4.938968)";4.938968;52.3150875
148;"CMSA-GJEM-02-3";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9388494 52.3150596)";"POINT(52.3150596 4.9388494)";4.9388494;52.3150596
149;"CMSA-GJEM-01-1 ";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9374606 52.3145263)";"POINT(52.3145263 4.9374606)";4.9374606;52.3145263
150;"CMSA-GJEM-01-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9375123 52.3144701)";"POINT(52.3144701 4.9375123)";4.9375123;52.3144701
151;"CMSA-GJEM-01-3";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9375572 52.3144193)";"POINT(52.3144193 4.9375572)";4.9375572;52.3144193
152;"CMSA-GJEM-03-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9446027 52.3130349)";"POINT(52.3130349 4.9446027)";4.9446027;52.3130349
153;"CMSA-GJEM-03-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9446094 52.3130731)";"POINT(52.3130731 4.9446094)";4.9446094;52.3130731
154;"CMSA-GJEM-04-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.9444847 52.3129349)";"POINT(52.3129349 4.9444847)";4.9444847;52.3129349
155;"CMSA-GJEM-04-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.944533 52.3128947)";"POINT(52.3128947 4.944533)";4.944533;52.3128947
177;"CMSA-GVCV05";"Telcamera";"Vaste spanning";20;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.9046391 52.3786955)";"POINT(52.3786955 4.9046391)";4.9046391;52.3786955
178;"CMSA-GACTO-PL4-01";"Telcamera";"Eigen voeding via lichtnet";100;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/public-eye/";"POINT(4.8215309 52.3805996)";"POINT(52.3805996 4.8215309)";4.8215309;52.3805996
179;"CMSA-GAWP-02";"Telcamera";"Eigen voeding via lichtnet";255;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8557492 52.3302774)";"POINT(52.3302774 4.8557492)";4.8557492;52.3302774
180;"CMSA-GAWP-05-1";"Telcamera";"Eigen voeding via lichtnet";270;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8568918 52.3279985)";"POINT(52.3279985 4.8568918)";4.8568918;52.3279985
181;"CMSA-GAWP-05-2";"Telcamera";"Eigen voeding via lichtnet";270;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8568422 52.3275461)";"POINT(52.3275461 4.8568422)";4.8568422;52.3275461
182;"CMSA-GAWP-06";"Telcamera";"Eigen voeding via lichtnet";255;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8564149 52.3216965)";"POINT(52.3216965 4.8564149)";4.8564149;52.3216965
183;"CMSA-GAWP-09";"Telcamera";"Eigen voeding via lichtnet";270;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/langzaam-verkeer-tellingen-amsterdamse/";"POINT(4.8414208 52.3115116)";"POINT(52.3115116 4.8414208)";4.8414208;52.3115116
