OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
221;"GASP-08-ParnassuswegZuidOost";"Telcamera";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8689389 52.3380801)";"POINT(52.3380801 4.8689389)";4.8689389;52.3380801
222;"GVCV-13";"Telcamera";"Eigen voeding via lichtnet";190;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9030459 52.3823773)";"POINT(52.3823773 4.9030459)";4.9030459;52.3823773
223;"GVCV-14";"Telcamera";"Eigen voeding via lichtnet";270;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.9033678 52.3821584)";"POINT(52.3821584 4.9033678)";4.9033678;52.3821584
224;"GVCV-11";"Telcamera";"Eigen voeding via lichtnet";230;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8913649 52.4010853)";"POINT(52.4010853 4.8913649)";4.8913649;52.4010853
225;"GARP-01-Sloterdijk";"Telcamera";"Eigen voeding via lichtnet";300;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8395605 52.3886255)";"POINT(52.3886255 4.8395605)";4.8395605;52.3886255
226;"GARP-02-Sloterdijk";"Telcamera";"Eigen voeding via lichtnet";350;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8384681 52.3886031)";"POINT(52.3886031 4.8384681)";4.8384681;52.3886031
227;"GARP-03-B-Sloterdijk";"Telcamera";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8372639 52.3888727)";"POINT(52.3888727 4.8372639)";4.8372639;52.3888727
228;"GARP-03-A-Sloterdijk";"Telcamera";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8373405 52.388864)";"POINT(52.388864 4.8373405)";4.8373405;52.388864
229;"GARP-04-StationZuid";"Telcamera";"Eigen voeding via lichtnet";180;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8732626 52.3397312)";"POINT(52.3397312 4.8732626)";4.8732626;52.3397312
230;"GARP-05-StationZuid";"Telcamera";"Eigen voeding via lichtnet";355;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8736033 52.3381022)";"POINT(52.3381022 4.8736033)";4.8736033;52.3381022
231;"GASA-06-B";"Telcamera";"Eigen voeding via lichtnet";250;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.9372891 52.3780815)";"POINT(52.3780815 4.9372891)";4.9372891;52.3780815
232;"GASA-01-A1";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9003208 52.3804457)";"POINT(52.3804457 4.9003208)";4.9003208;52.3804457
233;"GASA-01-A2";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9002698 52.3804015)";"POINT(52.3804015 4.9002698)";4.9002698;52.3804015
234;"GASA-01-B";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8999801 52.3803213)";"POINT(52.3803213 4.8999801)";4.8999801;52.3803213
235;"GASA-01-C";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.8999131 52.3802722)";"POINT(52.3802722 4.8999131)";4.8999131;52.3802722
236;"GASA-02-01";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9046901 52.3786578)";"POINT(52.3786578 4.9046901)";4.9046901;52.3786578
237;"GASA-02-02";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9046311 52.3785776)";"POINT(52.3785776 4.9046311)";4.9046311;52.3785776
238;"GASA-03";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9111113 52.3775804)";"POINT(52.3775804 4.9111113)";4.9111113;52.3775804
239;"GASA-04";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9034263 52.3770626)";"POINT(52.3770626 4.9034263)";4.9034263;52.3770626
240;"GASA-05-O";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9193525 52.3890877)";"POINT(52.3890877 4.9193525)";4.9193525;52.3890877
241;"GASA-05-W";"Telcamera";"Eigen voeding via lichtnet";135;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/ ";"POINT(4.9188868 52.3892492)";"POINT(52.3892492 4.9188868)";4.9188868;52.3892492

